Faculty,Code,Title,Description,Components,Prerequisites,TextForBERT
ELG,2136,Electronics I ,"Physics of semiconductors. Diodes: operation, models. and application circuits. Bipolar Junction Transistors - operation and characteristics. DC and AC circuit models. Basic single-stage BJT amplifier configurations. Field-Effect Transistors: Structure and physical operation, bias circuits, small-signal equivalent circuits and basic amplifiers. Basic concepts of digital logic circuits. The BJT inverter. The CMOS Inverter. Propagation delay of the CMOS inverter. CMOS gates and other digital circuits. Using Computer-Aided Design software tools in the design and analysis of BJT/MOSFET-based circuits. Introduction to Semiconductor Power Devices: thyristor, triac, Insulated Gate Bipolar transistor. Power Electronics Applications: The AC-DC, DC-DC, and DC-AC converters.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2138.,"electronics i. physics of semiconductors. diodes: operation, models. and application circuits. bipolar junction transistors - operation and characteristics. dc and ac circuit models. basic single-stage bjt amplifier configurations. field-effect transistors: structure and physical operation, bias circuits, small-signal equivalent circuits and basic amplifiers. basic concepts of digital logic circuits. the bjt inverter. the cmos inverter. propagation delay of the cmos inverter. cmos gates and other digital circuits. using computer-aided design software tools in the design and analysis of bjt/mosfet-based circuits. introduction to semiconductor power devices: thyristor, triac, insulated gate bipolar transistor. power electronics applications: the ac-dc, dc-dc, and dc-ac converters. laboratory, lecture, tutorial prerequisite:elg 2138."
ELG,2137,Circuit Theory II ,Ideal operational amplifiers - analysis and applications. Forced and natural responses of RLC circuits using the differential equation approach. Transient circuit analysis using unilateral Laplace transforms. Two-port networks and parameters. Mutual inductance and the ideal transformer. Transfer functions. Frequency response of simple filters. Fundamentals of computer-aided circuit simulation. The measurement of sinusoidal and non-sinusoidal electrical quantities in analogue and digital circuits. Introduction to sensors and instrumentation amplifiers. The measurement of non-electrical quantities.,"Laboratory, Lecture, Tutorial","Prerequisites:ELG 2138,MAT 2384.","circuit theory ii. ideal operational amplifiers - analysis and applications. forced and natural responses of rlc circuits using the differential equation approach. transient circuit analysis using unilateral laplace transforms. two-port networks and parameters. mutual inductance and the ideal transformer. transfer functions. frequency response of simple filters. fundamentals of computer-aided circuit simulation. the measurement of sinusoidal and non-sinusoidal electrical quantities in analogue and digital circuits. introduction to sensors and instrumentation amplifiers. the measurement of non-electrical quantities. laboratory, lecture, tutorial prerequisites:elg 2138,mat 2384."
ELG,2138,Circuit Theory I ,"DC and sinusoidal steady state (AC) analysis of circuits. Basic passive circuit elements (resistors, capacitors, inductors). Voltage and current sources. Kirchoff laws. Loop and nodal analysis. Circuit theorems: Superposition, Maximum power transfer, Thevenin, Norton. Forced and natural responses of RL and RC circuits using the differential equation approach. Sinusoidal signals, complex numbers, phasors and impedance concepts. Average and RMS quantities. Steady state time-domain behaviour of inductors and capacitors. Complex, average and apparent power. Introduction to the use of electrical measurement equipment and Computer-Aided Design tools to support circuit analysis.","Laboratory, Lecture, Tutorial","Prerequisites:ITI 1100,MAT 1341,MAT 1322.","circuit theory i. dc and sinusoidal steady state (ac) analysis of circuits. basic passive circuit elements (resistors, capacitors, inductors). voltage and current sources. kirchoff laws. loop and nodal analysis. circuit theorems: superposition, maximum power transfer, thevenin, norton. forced and natural responses of rl and rc circuits using the differential equation approach. sinusoidal signals, complex numbers, phasors and impedance concepts. average and rms quantities. steady state time-domain behaviour of inductors and capacitors. complex, average and apparent power. introduction to the use of electrical measurement equipment and computer-aided design tools to support circuit analysis. laboratory, lecture, tutorial prerequisites:iti 1100,mat 1341,mat 1322."
ELG,2336,Electric Circuits and Machines for Mechanical Engineering ,"Network theorems. Forced and transient response to deterministic inputs. Sinusoidal steady-state response of circuits. Magnetic theory and circuits. Transformers. Electromechanical energy conversion. Introduction to AC circuits, three phase power. DC machines, AC machines, torque-speed curves and efficiency. Laboratory experiments.","Laboratory, Lecture",Prerequisite:PHY 1122.MAT 2384is corequisite toELG 2336.,"electric circuits and machines for mechanical engineering. network theorems. forced and transient response to deterministic inputs. sinusoidal steady-state response of circuits. magnetic theory and circuits. transformers. electromechanical energy conversion. introduction to ac circuits, three phase power. dc machines, ac machines, torque-speed curves and efficiency. laboratory experiments. laboratory, lecture prerequisite:phy 1122.mat 2384is corequisite toelg 2336."
ELG,3106,Electromagnetic Engineering ,"Transmission lines: time and space dependence of signals, line parameters, input impedance, use as circuit elements, reflection coefficient, standing-wave ratio, transient behaviour. Impedance matching: transformers, stubs, analysis using the Smith Chart. Maxwell's and wave equations. Electromagnetic waves: TEM, TE, TM propagation. Waveguides: basic equations, parallel plate guide, rectangular guide. Introduction to antennas. Applications to communications and radar systems.","Laboratory, Lecture, Tutorial","Prerequisites:MAT 2322,MAT 2384,PHY 2323.","electromagnetic engineering. transmission lines: time and space dependence of signals, line parameters, input impedance, use as circuit elements, reflection coefficient, standing-wave ratio, transient behaviour. impedance matching: transformers, stubs, analysis using the smith chart. maxwell's and wave equations. electromagnetic waves: tem, te, tm propagation. waveguides: basic equations, parallel plate guide, rectangular guide. introduction to antennas. applications to communications and radar systems. laboratory, lecture, tutorial prerequisites:mat 2322,mat 2384,phy 2323."
ELG,3125,Signal and System Analysis ,Continuous-time and discrete-time signals. Mathematical description of systems. Properties of systems. Convolution and impulse response of continuous and discrete time LTI systems. Fourier series of periodic continuous and discrete time signals. Decomposition and approximation of signals by orthogonal functions. The Fourier transform of continuous and discrete time signals. Frequency response of systems. Frequency selective filtering. First and second order systems. Sampling and interpolation of continuous-time signals. LTI system analysis with the Laplace and the Z transforms.,"Laboratory, Lecture, Tutorial",Prerequisite:ELG 2138.,"signal and system analysis. continuous-time and discrete-time signals. mathematical description of systems. properties of systems. convolution and impulse response of continuous and discrete time lti systems. fourier series of periodic continuous and discrete time signals. decomposition and approximation of signals by orthogonal functions. the fourier transform of continuous and discrete time signals. frequency response of systems. frequency selective filtering. first and second order systems. sampling and interpolation of continuous-time signals. lti system analysis with the laplace and the z transforms. laboratory, lecture, tutorial prerequisite:elg 2138."
ELG,3126,Random Signals and Systems ,"Probabilistic models, conditional probability and Bayes' rule; vectors of random variables, distributions and density functions, expectations and characteristic functions.  Independence, Laws of Large Numbers, Central-Limit Theorem.  Random process concepts. Random signal analysis concepts.  Applications drawn from power systems, analog and digital circuits, communication systems and manufacturing.","Lecture, Tutorial","Prerequisite:ELG 3125. The coursesELG 3126,MAT 2377cannot be combined for units.","random signals and systems. probabilistic models, conditional probability and bayes' rule; vectors of random variables, distributions and density functions, expectations and characteristic functions. independence, laws of large numbers, central-limit theorem. random process concepts. random signal analysis concepts. applications drawn from power systems, analog and digital circuits, communication systems and manufacturing. lecture, tutorial prerequisite:elg 3125. the courseselg 3126,mat 2377cannot be combined for units."
ELG,3136,Electronics II ,"Differential Amplifiers: BJT, MOS. Multistage Amplifiers: Frequency Response: s-Domain analysis, amplifier transfer function, frequency response of CS, CE, CB, cascode, CC and cascaded amplifiers. Feedback: general feedback structure and basic feedback topologies. Stability, frequency compensation Output Stages and Power Amplifiers: Class A, B and AB output stages. IC and MOS power amplifiers. Using computer-aided analysis of circuits in computing their electrical parameters.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2136.,"electronics ii. differential amplifiers: bjt, mos. multistage amplifiers: frequency response: s-domain analysis, amplifier transfer function, frequency response of cs, ce, cb, cascode, cc and cascaded amplifiers. feedback: general feedback structure and basic feedback topologies. stability, frequency compensation output stages and power amplifiers: class a, b and ab output stages. ic and mos power amplifiers. using computer-aided analysis of circuits in computing their electrical parameters. laboratory, lecture, tutorial prerequisite:elg 2136."
ELG,3137,Fundamentals of Semiconductor Devices ,"Modern solid-state electronic devices, their principles of operation, and fabrication. Solid state physics fundamentals, free electrons, band structure, and transport properties of semiconductors. Nonequilibrium phenomena in semiconductors. p-n junctions,  Schottky diodes, bipolar and field-effect transistors. Modern, high-performance devices. Ultrafast devices.","Laboratory, Lecture, Tutorial","Prerequisites:ELG 2136,MAT 2384, (PHY 1124or (PHY 1121,PHY 1122)).","fundamentals of semiconductor devices. modern solid-state electronic devices, their principles of operation, and fabrication. solid state physics fundamentals, free electrons, band structure, and transport properties of semiconductors. nonequilibrium phenomena in semiconductors. p-n junctions, schottky diodes, bipolar and field-effect transistors. modern, high-performance devices. ultrafast devices. laboratory, lecture, tutorial prerequisites:elg 2136,mat 2384, (phy 1124or (phy 1121,phy 1122))."
ELG,3155,Introduction to Control Systems ,"Introduction to control systems, dynamic systems modeling.  Laplace transforms, partial fraction methods. Block diagram and signal flow graph models, transfer functions of linear systems. Introduction to state-space models. Feedback control system characteristics, stability and Routh-Hurwitz criteria, the root locus method, design of industrial controllers, the Nyquist stability  criterion, Bode plots,  design indexes, lead and lag controllers.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 3125.,"introduction to control systems. introduction to control systems, dynamic systems modeling. laplace transforms, partial fraction methods. block diagram and signal flow graph models, transfer functions of linear systems. introduction to state-space models. feedback control system characteristics, stability and routh-hurwitz criteria, the root locus method, design of industrial controllers, the nyquist stability criterion, bode plots, design indexes, lead and lag controllers. laboratory, lecture, tutorial prerequisite:elg 3125."
