Faculty,Code,Title,Description,Components,Prerequisites
ELG,2136,Electronics I ,"Physics of semiconductors. Diodes: operation, models. and application circuits. Bipolar Junction Transistors - operation and characteristics. DC and AC circuit models. Basic single-stage BJT amplifier configurations. Field-Effect Transistors: Structure and physical operation, bias circuits, small-signal equivalent circuits and basic amplifiers. Basic concepts of digital logic circuits. The BJT inverter. The CMOS Inverter. Propagation delay of the CMOS inverter. CMOS gates and other digital circuits. Using Computer-Aided Design software tools in the design and analysis of BJT/MOSFET-based circuits. Introduction to Semiconductor Power Devices: thyristor, triac, Insulated Gate Bipolar transistor. Power Electronics Applications: The AC-DC, DC-DC, and DC-AC converters.","Laboratory, Lecture, Tutorial",Prerequisite:ELG 2138.
ELG,2137,Circuit Theory II ,Ideal operational amplifiers - analysis and applications. Forced and natural responses of RLC circuits using the differential equation approach. Transient circuit analysis using unilateral Laplace transforms. Two-port networks and parameters. Mutual inductance and the ideal transformer. Transfer functions. Frequency response of simple filters. Fundamentals of computer-aided circuit simulation. The measurement of sinusoidal and non-sinusoidal electrical quantities in analogue and digital circuits. Introduction to sensors and instrumentation amplifiers. The measurement of non-electrical quantities.,"Laboratory, Lecture, Tutorial","Prerequisites:ELG 2138,MAT 2384."
ELG,2138,Circuit Theory I ,"DC and sinusoidal steady state (AC) analysis of circuits. Basic passive circuit elements (resistors, capacitors, inductors). Voltage and current sources. Kirchoff laws. Loop and nodal analysis. Circuit theorems: Superposition, Maximum power transfer, Thevenin, Norton. Forced and natural responses of RL and RC circuits using the differential equation approach. Sinusoidal signals, complex numbers, phasors and impedance concepts. Average and RMS quantities. Steady state time-domain behaviour of inductors and capacitors. Complex, average and apparent power. Introduction to the use of electrical measurement equipment and Computer-Aided Design tools to support circuit analysis.","Laboratory, Lecture, Tutorial","Prerequisites:ITI 1100,MAT 1341,MAT 1322."
ELG,2336,Electric Circuits and Machines for Mechanical Engineering ,"Network theorems. Forced and transient response to deterministic inputs. Sinusoidal steady-state response of circuits. Magnetic theory and circuits. Transformers. Electromechanical energy conversion. Introduction to AC circuits, three phase power. DC machines, AC machines, torque-speed curves and efficiency. Laboratory experiments.","Laboratory, Lecture",Prerequisite:PHY 1122.MAT 2384is corequisite toELG 2336.
ELG,2536,Électronique I ,"Physique des semi-conducteurs. Diodes : fonctionnement, modèles et circuits d’application. Transistors Bipolaires à Jonctions - fonctionnement et caractéristiques. Circuits équivalents en cc et en ca. Configurations de base d'amplificateurs TBJ à un étage. Transistors à Effet de Champ : structure et fonctionnement physique, circuits de polarisation, circuits équivalents à faible signal et configurations de base d'amplificateurs. Concepts fondamentaux de circuits logiques. Inverseur TBJ. Inverseur CMOS. Délai de propagation de l'inverseur CMOS. Portes logiques CMOS et autres circuits numériques. Utilisation d'outils logiciels de conception assistée par ordinateur dans la conception et l'analyse de circuits à base de TBJ/MOSFET. Utilisation d'outils logiciels de conception assistée par ordinateur dans la conception et l'analyse de circuits basés sur BJT/MOSFET. Introduction aux composants semi-conducteurs de puissance : thyristor, triac, Transistor bipolaire à porte isolée. Applications en électronique de puissance : les convertisseurs ca-cc, cc-cc et cc-ca","Volet :Laboratoire, Cours magistral, Tutoriel",Préalable :ELG 2538.
ELG,2537,Théorie des circuits II ,Amplificateurs opérationnels idéaux-analyse et applications. Réponses naturelles et forcées de circuits RLC en utilisant l'approche par équations différentielles. Analyse transitoire de circuits par la transformée de Laplace unilatérale. Circuits à deux portes et leurs paramètres. Inductance mutuelle et transformateur idéal. Fonctions de transfert. Réponse en fréquence de filtres simples. Fondements de la simulation de circuits assistée par ordinateur. Mesures de grandeurs sinusoïdales et non sinusoïdales dans les circuits analogiques et numériques. Introduction aux capteurs et amplificateurs pour instrumentation. Mesures de grandeurs non électriques.,"Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ELG 2538,MAT 2784."
ELG,2538,Théorie des circuits I ,"Analyse en régime permanent de circuits en courant continu et en courant alternatif. Éléments passifs de base des circuits (résistances, capacités, inductances). Sources de tension et courant. Lois de Kirchoff. Analyse par méthodes des mailles et des noeuds. Théorèmes pour les circuits : Superposition, transfert maximal de puissance, Thévenin, Norton. Réponses naturelles et forcées de circuits RL et RC en utilisant l'approche par équations différentielles. Signaux sinusoïdaux, nombres complexes, notions de phaseurs et impédances. Grandeurs moyennes et efficaces. Comportement des inductances et capacités en régime permanent dans le domaine temporel. Puissance complexe, moyenne et apparente. Introduction à l'utilisation d'équipements de mesures électriques et d'outils de conception assistée par ordinateur pour l'analyse de circuits.","Volet :Laboratoire, Cours magistral, Tutoriel","Préalables :ITI 1500,MAT 1741,MAT 1722."
ELG,2736,Circuits et machines électriques pour ingénieurs en mécanique ,"Théorèmes de réseaux. Réponse transitoire et réponse forcée pour excitations déterministes. Régime sinusoïdal permanent des circuits. Théorie et circuits magnétiques. Transformateurs. Conversion électromagnétique de l'énergie. Introduction aux circuits en c.a. et à la puissance triphasée. Moteurs à c.c., moteurs à c.a., courbes couple-vitesse et efficacité. Expériences au laboratoire.","Volet :Laboratoire, Cours magistral",Préalable : PHY1522. MAT2784 est concomitant àELG 2736.
ELG,2911,Pratique professionnelle en ingénierie et technologie de l'information / Professional Practice in Information Technology and Engineering ,"Histoire de la profession d'ingénieur. Principes de professionnalisme dans la pratique de l'ingénieur. Obligations éthiques et légales de l'ingénieur envers la société et l'environnement. Compétences requises en communication et administration dans la pratique de l'ingénieur. Santé et sécurité au travail. / History of the profession of engineering. Principles of professional engineering practice. Ethical, societal, environmental and legal obligations of the professional engineer. Communication and management skills required by the practicing engineer. Workplace health and safety.","Volet / Course Component:Cours magistral / Lecture, Tutoriel / Tutorial",
ELG,3106,Electromagnetic Engineering ,"Transmission lines: time and space dependence of signals, line parameters, input impedance, use as circuit elements, reflection coefficient, standing-wave ratio, transient behaviour. Impedance matching: transformers, stubs, analysis using the Smith Chart. Maxwell's and wave equations. Electromagnetic waves: TEM, TE, TM propagation. Waveguides: basic equations, parallel plate guide, rectangular guide. Introduction to antennas. Applications to communications and radar systems.","Laboratory, Lecture, Tutorial","Prerequisites:MAT 2322,MAT 2384,PHY 2323."
