StudentText,LikedCourses
i like nuclear engineering.,MCG 5322;MCG 5133
i like bioinstrumentation.,MCG 4150
i like pavement and materials.,CVG 7103;ELG 6153
i like theory of turbulence.,MCG 5152
"i am interested in courses like system dynamics, distributed systems design.",MCG 3306;CEG 4198
i like radio frequency integrated circuit design.,ELG 6353;ELG 6382
i enjoy software design and architecture.,SEG 3102;CHG 3324
i enjoy tissue engineering and regenerative medicine principles.,CHG 8303;CEG 2136
i enjoy theory semiconductor devices.,ELG 6380;CHG 4305
"i like biomechanics of skeletal system, motion and tissue.",BMG 5301
i like application of mathematical methods to chemical engineering.,CHG 3331
i like introduction to composite materials.,MCG 4144;CVG 5124
"i enjoy studying areas such as system modelling, dynamics and control.",MCG 5326
i am interested in courses like traffic engineering.,CVG 7151
i enjoy advanced dynamics with applications.,MCG 5107
i like fundamentals of geomechanics.,CVG 7116;BMG 5319
i enjoy diagnosis and prognosis of concrete infrastructure. i am less interested in software-heavy courses.,CVG 5191
i am interested in courses like space robotics.,MCG 5329
"i enjoy studying areas such as solar cells - principles, materials, systems and operation, estimation and identification in dynamics using data.",ELG 6397;CVG 5309
i am interested in courses like heat transfer with phase change.,MCG 5134
"i am interested in courses like control systems, mobile computing systems.",MCG 3307;ELG 6136
i enjoy theory of structures i.,CVG 3140;BMG 5300
i enjoy elements of computer systems.,ELG 6174;CVG 2107
i enjoy aerodynamics.,MCG 4345;ELG 5295
i enjoy membrane gas separation processes.,CHG 8198;ELG 6168
"i enjoy studying areas such as radio frequency integrated circuit design, fundamentals of policy i: policy analysis.",ELG 6353;BMG 5130
"i enjoy studying areas such as solid waste management, finite element analysis.",CVG 4133;MCG 4102
i like medical imaging modalities.,BMG 5105;ELG 6371
"i am interested in courses like data collection and interpretation, fundamentals of semiconductor devices. i am not looking for mechanical engineering topics.",CHG 3337;ELG 3137
"i enjoy studying areas such as adaptive signal processing, fundamentals and applications of chemical engineering thermodynamics. i am not looking for mechanical engineering topics.",ELG 6160;CHG 2324
i am interested in courses like sustainable and resilient infrastructure.,CVG 5214
"i am interested in courses like nonlinear systems analysis & controls, geotechnical earthquake engineering. i prefer not to take unrelated subjects.",MCG 5327;CVG 7109
i enjoy introduction to fluid mechanics.,CVG 2116;MCG 5152
i am interested in courses like estimation and identification in dynamics using data.,CVG 5309
i enjoy earthquake engineering.,CVG 5155;CVG 7116
i am interested in courses like physical/chemical unit operation of water and wastewater treatment. i am not looking for mechanical engineering topics.,CVG 3132
i like stochastic processes.,ELG 5119
i enjoy space robotics. i am less interested in software-heavy courses.,MCG 5329
i am interested in courses like circuit theory ii. i am less interested in software-heavy courses.,ELG 2137
i enjoy robot mechanics. i would rather avoid purely theoretical classes.,MCG 4132;CHG 4380
i like pattern classification and experiment design.,BMG 5305
i like asic's in telecommunications.,ELG 6378
i like practical applications of fire protection. i would rather avoid purely theoretical classes.,CVG 7113
"i enjoy studying areas such as multimedia communications, biological and engineering materials.",ELG 5121;BMG 5300
"i am interested in courses like advanced linear and nonlinear circuit theory and application, construction equipment management.",ELG 6340;CVG 5101
i enjoy studying areas such as fire dynamics i.,CVG 7171
i like climate change impacts on water resources. i would rather avoid purely theoretical classes.,CVG 5212;CVG 5155
i like advanced biochemical engineering.,CHG 8181;CVG 5153
i enjoy plant design project (9 units).,CHG 4250;MCG 5344
i enjoy optical communications systems.,ELG 5103;CHG 8116
i enjoy applied machine learning for computer engineering.,CEG 4195
i enjoy studying areas such as river hydraulics.,CVG 5162
i like introduction to convex optimization.,ELG 6108;MCG 5304
i am interested in courses like chemical engineering practice.,CHG 3122
i enjoy studying areas such as ai-enabled wireless networks. i am less interested in software-heavy courses.,ELG 5143
i enjoy computer control in robotics. i would rather avoid purely theoretical classes.,CEG 4158;CHG 4385
i am interested in courses like enterprise architecture and models. i am less interested in software-heavy courses.,SEG 4170
i enjoy studying areas such as professional skills and responsibility.,ELG 5301
"i enjoy studying areas such as interfacial phenomena in engineering, modern control engineering.",CHG 8196;ELG 4157
i am interested in courses like introduction to software engineering.,SEG 2105
"i enjoy studying areas such as people in fires, theory of plates and shells.",CVG 7173;MCG 5104
i like ai-enabled wireless networks.,ELG 5143
i enjoy climate-resilient infrastructures in a changing climate.,CVG 5216
i enjoy studying areas such as computer architecture iii.,CEG 4136
"i am interested in courses like mechanics of unsaturated soils, microsensors and mems.",CVG 4161;ELG 6377
i enjoy numerical methods in electromagnetic engineering.,ELG 5379;MCG 3306
i enjoy nonlinear electronic circuits.,ELG 6389
i enjoy studying areas such as digital watermarking.,ELG 5360
i enjoy space robotics.,MCG 5329
"i enjoy studying areas such as laminar flow theory, traffic engineering. i would rather avoid purely theoretical classes.",MCG 5151;CVG 7151
i enjoy resource management on distributed systems.,ELG 6306;CHG 4343
"i enjoy studying areas such as dynamics and aerodynamics of low speed flight, mechatronics.",MCG 5311;MCG 4136
i enjoy studying areas such as traffic engineering.,CVG 7151
i enjoy studying areas such as surface controlled semiconductor devices. i am less interested in software-heavy courses.,ELG 6382
"i enjoy studying areas such as adsorption separation processes, microwave and millimeterwave integrated circuits. i am less interested in software-heavy courses.",CHG 8132;ELG 6349
i enjoy studying areas such as introduction to design of mechanical systems. i am not looking for mechanical engineering topics.,MCG 2101
