StudentText,LikedCourses
"I am interested in courses like Engineering Materials I, Introduction to Electronic Design Automation Algorithms and Techniques. I am not interested in business courses.",MCG 2360;ELG 6342
I am interested in courses like Adaptive Signal Processing.,ELG 6160
I am interested in courses like Masonry Behavior and Design. I would rather avoid purely theoretical classes.,CVG 7138
I enjoy Theory of Viscous Flows.,MCG 5301;CVG 5184
I am interested in courses like Introduction to Microfluidics.,MCG 4112
I enjoy Mechanics of Materials II.,CVG 3141
"I am interested in courses like Introduction to Medical Imaging Principles and Technology, Principles of Digital Communication.",BMG 5106;ELG 6154
I enjoy studying areas such as Advanced Concrete Technology. I am not interested in business courses.,CVG 5150
"I am interested in courses like VLSI Design Project, Multivariable Digital Control.",ELG 6385;MCG 5185
I enjoy Space Mission Analysis and Design.,MCG 5121
I enjoy Nonlinear Electronic Circuits.,ELG 6389;CHG 8132
I enjoy Chemical Engineering Laboratory.,CHG 4116;ELG 5374
I enjoy Asic's in Telecommunications.,ELG 6378;ELG 4125
I enjoy Planning and Design of Computer Networks.,ELG 5137
"I like Probability, Statistics, Stochastic Processes and Statistical Inference in Engineering. I am not looking for mechanical engineering topics.",CVG 7114
I enjoy studying areas such as Linear Systems.,ELG 4156
"I enjoy studying areas such as Computer Communication, Advanced Concrete Technology.",ELG 6121;CVG 4172
"I am interested in courses like Data Collection and Interpretation, Robot Mechanics.",CHG 3337;MCG 4132
I enjoy Surface Controlled Semiconductor Devices.,ELG 6382;CVG 4130
I enjoy advanced Foundation Engineering.,CVG 7105;CVG 7126
"I am interested in courses like Introduction to Polymer Reaction Engineering, Hydraulic Structures.",CHG 8187;CVG 5111
"I am interested in courses like Engineering Materials II, Data Collection and Interpretation.",MCG 2361;CHG 3337
I like Sustainable Building Design.,CVG 4147
I like Uncertainty Evaluation in Engineering Measurements and Machine Learning.,ELG 5218
I like Integrated Database and Cloud Systems.,ELG 6173
"I enjoy studying areas such as Road Safety Analysis, Renewable Fuels.",CVG 7110;CHG 8301
I am interested in courses like Digital Signal Processing.,ELG 6162
"I am interested in courses like Graphical Models, Interfacial Phenomena in Engineering.",ELG 5131;CHG 8196
I am interested in courses like Advanced Transport Phenomena. I am not looking for mechanical engineering topics.,CHG 8116
"I am interested in courses like Fire Modelling, Durability of Concrete Structures. I am not interested in business courses.",CVG 7174;CVG 5312
"I am interested in courses like Gas Turbine Combustion, Electromagnetic Waves Theory and Applications. I would rather avoid purely theoretical classes.",MCG 5344;ELG 5104
I am interested in courses like Earth Retaining Structures. I would rather avoid purely theoretical classes.,CVG 7104
"I enjoy studying areas such as Digital Image Processing, Advanced Dynamics With Applications. I am less interested in software-heavy courses.",CEG 4316;MCG 5107
I like Master's Seminar in Civil Engineering.,CVG 5366
I like Seismic Analysis and Design of Concrete Structures.,CVG 5313
I like Software Quality Assurance. I am not looking for mechanical engineering topics.,SEG 3103
I enjoy Methodologies for Discrete-Event Modeling and Simulation.,ELG 6114
I enjoy Cloud Infrastructure and Technologies. I am not interested in business courses.,ELG 5164
I am interested in courses like Sustainable Electrical Power Systems.,ELG 4126
I am interested in courses like Masonry Behavior and Design.,CVG 7138
"I am interested in courses like Sustainable Electrical Power Systems, Advanced Soil Mechanics.",ELG 4126;CVG 7101
I like Computer Communication Network.,ELG 5374;MCG 5303
I enjoy Electromagnetic Engineering.,ELG 3106;MCG 5361
I enjoy Robot Mechanics.,MCG 4132
I enjoy Wind Engineering. I am less interested in software-heavy courses.,CVG 5153
I enjoy Bridge Design.,CVG 5311;CVG 4133
I enjoy Wind Engineering.,CVG 5153
I enjoy Computer Architecture III. I would rather avoid purely theoretical classes.,CEG 4136
I like Computer Communication.,ELG 6121
I enjoy studying areas such as Numerical Methods in Geomechanics. I am not interested in business courses.,CVG 7107
I like Signal Processing Electronics.,ELG 6388;CVG 7175
I like Enterprise Architecture and Models. I am less interested in software-heavy courses.,SEG 4170
"I am interested in courses like High-Speed and Low-Power Vlsi, Estimation and Identification in Dynamics using Data. I am not looking for mechanical engineering topics.",ELG 6381;CVG 5309
I like Climate-Resilient Infrastructures in a Changing Climate.,CVG 5216
I like Heat Transfer Operations. I am not looking for mechanical engineering topics.,CHG 2314
I am interested in courses like Advanced Chemical Engineering Thermodynamics.,CHG 8123
"I enjoy studying areas such as Finite Element Analysis 2, Geotechnical Case Studies.",CVG 7124;CVG 7100
"I am interested in courses like Hydraulics of Water Supply and Sewer Systems, Strategies for Engineering Process Analysis.",CVG 4113;CHG 8157
I am interested in courses like Electromagnetic Engineering.,ELG 3106
I enjoy Biological and Engineering Materials I.,MCG 2141
I like Design of Secure Computer Systems. I am not looking for mechanical engineering topics.,CEG 4399
"I am interested in courses like Guidance, Navigation and Control, Introduction to Control Systems. I am not interested in business courses.",MCG 5354;ELG 3155
I like Bridge Design.,CVG 5311;ELG 6166
I like Advanced Software Design and Reengineering.,SEG 4110;MCG 4151
"I am interested in courses like Incompressible Non-Viscous Flows, Structural Dynamics. I am not interested in business courses.",MCG 5303;CVG 4142
"I enjoy studying areas such as Micro and Nano Systems, People in Fires.",MCG 5120;CVG 7173
I enjoy Applied Machine Learning for Computer Engineering. I would rather avoid purely theoretical classes.,CEG 4195
I am interested in courses like Advanced Timber Design.,CVG 5151
I enjoy Numerical Methods in Geomechanics.,CVG 7107
"I enjoy studying areas such as Highway Geometric Design, Optical Communications Systems.",CVG 7154;ELG 5103
"I enjoy studying areas such as Physical/Chemical Unit Operation of Water and Wastewater Treatment, Field Investigations and Environmental Impact Assessment of Civil Engineering Projects. I am not interested in business courses.",CVG 3132;CVG 4175
"I enjoy studying areas such as Advanced Chemical Engineering Thermodynamics, High-Performance Parallel Scientific Computing.",CHG 8123;MCG 5148
I am interested in courses like Adsorption Separation Processes. I am not looking for mechanical engineering topics.,CHG 8132
I enjoy Highway Geometric Design. I am not interested in business courses.,CVG 7154;MCG 3305
I enjoy Operating System Methods for Real-Time Applications.,ELG 6171
I like Plant Design Project (6 units).,CHG 4244;CEG 4316
"I am interested in courses like Fire Behaviour of Materials, Electronics for Mechanical Engineers.",CVG 5320;ELG 3336
I like Algebraic Coding Theory.,ELG 6120
I enjoy Deep Learning and Reinforcement Learning.,ELG 5214
I like Fundamentals and Applications of Chemical Engineering Thermodynamics.,CHG 3324
I like Theory of Plates and Shells.,MCG 5104
I like Introduction to Communication Systems.,ELG 3175
"I enjoy Multimedia Compression, Scalability, and Adaptation.",ELG 6304
I am interested in courses like Control Systems.,MCG 3307
"I enjoy studying areas such as Urban Transportation, Numerical Modelling in Civil Engineering.",CVG 7153;CVG 2181
"I am interested in courses like Physical/Chemical Unit Operation of Water and Wastewater Treatment, Turbomachinery.",CVG 3132;MCG 5341
I am interested in courses like Advanced Software Design and Reengineering.,SEG 4110
I like Thesis (Part 2 of 2) (6 units). I would rather avoid purely theoretical classes.,MCG 2202;MCG 3143
I like Continuum Mechanics.,MCG 5105;ELG 6358
I am interested in courses like Road Safety Analysis.,CVG 7110
I enjoy Micro and Nano Systems.,MCG 5120
I like Cloud Systems and Networks.,SEG 4135
I like Cross Layer Design for Wireless Networks. I am less interested in software-heavy courses.,ELG 6318;CVG 5333
I am interested in courses like Membranes in Clean Processes.,CHG 8192
"I enjoy studying areas such as Finite Element Methods I, Biomechanics of Movement.",CVG 5156;BMG 5120
I enjoy studying areas such as Surface Controlled Semiconductor Devices.,ELG 6382
I like Biopharmaceutics and Fermentation.,CHG 8306
I like Data Encryption.,ELG 5373
"I enjoy studying areas such as Software Design and Architecture, Clinical Engineering.",SEG 3102;BMG 5113
I like Finite Element Methods II. I prefer not to take unrelated subjects.,CVG 5157
I am interested in courses like Biological Signals.,ELG 6307
I enjoy Mobile Robotics. I prefer not to take unrelated subjects.,ELG 5228;CVG 7158
I am interested in courses like Theory of Viscous Flows.,MCG 5301
I enjoy studying areas such as Fibre and Waveguide Components for Communications and Sensors.,ELG 6371
I enjoy Characterization Methods for Materials.,CVG 5192;ELG 5386
I enjoy Finite Element Methods II.,CVG 5157
I like River Hydraulics. I am less interested in software-heavy courses.,CVG 5162;ELG 6372
I like Membranes in Clean Processes. I am less interested in software-heavy courses.,CHG 8192;ELG 5131
I enjoy studying areas such as Rock Mechanics.,CVG 5187
I am interested in courses like Electronics I.,ELG 2136
I enjoy Real-Time Systems Design.,CEG 4166;CHG 8304
"I enjoy studying areas such as VLSI Design Project, Engineering Materials II.",ELG 6385;MCG 2361
"I am interested in courses like Optical Communications Systems, Fluid Mechanics II. I am not looking for mechanical engineering topics.",ELG 5103;MCG 3341
I am interested in courses like Seismic Analysis and Design of Concrete Structures.,CVG 5313
I enjoy Research Methods for Engineers. I prefer not to take unrelated subjects.,ELG 6322
I like Geotechnical Earthquake Engineering.,CVG 7109
I enjoy Methodologies for Discrete-Event Modeling and Simulation.,ELG 6114
I am interested in courses like Advanced Dynamics With Applications. I am less interested in software-heavy courses.,MCG 5107
I like Nuclear Engineering. I prefer not to take unrelated subjects.,MCG 5322;CVG 7112
